status,price,bedroom,bathroom,carpark,area,type,address,zipcode,house_url,agent_name,agent_position,agent_company,agent_sale,agent_phone,agent_location,agent_url
Sold by private treaty 7 Oct 2020,920000,4,3,2,"1,076m²",.css-in3yi3{font-weight:bold;},.css-164r41r{margin-top:8px;},,https://www.domain.com.au/2-sandpiper-court-ocean-grove-vic-3226-2016347647,Lynley Bassett,Sales representative,Hayden Real Estate Ocean Grove,6,0448 515 925,"75 The Terrace, Ocean Grove VIC 3226 75 The Terrace, Ocean Grove VIC 3226",https://www.domain.com.au/real-estate-agent/lynley-bassett-1757123/
Sold by private treaty 7 Oct 2020,620000,2,1,−,,Apartment/Unit/Flat,420/422 Collins Street Melbourne VIC 3000,3000,https://www.domain.com.au/420-422-collins-street-melbourne-vic-3000-2016428703,Dionne Wilson,Director,Harcourts Melbourne City,7,03 9664 8114,"107/517 Flinders Lane, Melbourne VIC 3000 107/517 Flinders Lane, Melbourne VIC 3000 107/517 Flinders Lane, Melbourne VIC 3000",https://www.domain.com.au/real-estate-agent/dionne-wilson-873614/
Sold by private treaty 28 Sep 2020,340000,,,,544m²,Vacantland,Lot 8014/19 Sail Court Armstrong Creek VIC 3217,3217,https://www.domain.com.au/lot-8014-19-sail-court-armstrong-creek-vic-3217-2016481457,Jayden McHenry,Sales representative,Armstrong Real Estate,23,0417 161 107,"758 Barwon Heads Road, Armstrong Creek VIC 3217",https://www.domain.com.au/real-estate-agent/jayden-mchenry-1718197/
Sold by private treaty 28 Sep 2020,360000,3,1,1,585m²,House,27 Lidgett Street Bacchus Marsh VIC 3340,3340,https://www.domain.com.au/27-lidgett-street-bacchus-marsh-vic-3340-2016443455,Adam Tucci,Sales ,Rayner First National Real Estate Bacchus Marsh,16,0411 077 128,"175 Main Street, Bacchus Marsh VIC 3340 175 Main Street, Bacchus Marsh VIC 3340",https://www.domain.com.au/real-estate-agent/adam-tucci-1206303/
Sold by private treaty 28 Sep 2020,725000,3,2,2,,House,89 Sixth Avenue Altona North VIC 3025,3025,https://www.domain.com.au/89-sixth-avenue-altona-north-vic-3025-2016375936,Daniel Chapman,Sales Executive,Mancini Real Estate ,21,03 9398 6366,"61 Pier Street, Altona VIC 3018 61 Pier Street, Altona VIC 3018",https://www.domain.com.au/real-estate-agent/daniel-chapman-1250398/
Sold by private treaty 29 Sep 2020,319000,,,,,Vacantland,Lot 609 Tawarri Estate Teesdale VIC 3328,3328,https://www.domain.com.au/lot-609-tawarri-estate-teesdale-vic-3328-2015960245,David Andrews,Principal,Andrews & Co Estate Agents,17,0429 088 889,"Shop 1/14 High Street, Bannockburn VIC 3331",https://www.domain.com.au/real-estate-agent/david-andrews-1589790/
Sold by private treaty 29 Sep 2020,590000,4,2,2,294m²,House,23 Ajax street Truganina VIC 3029,3029,https://www.domain.com.au/23-ajax-street-truganina-vic-3029-2016340790,Ravish Sharma,Sales representative,Ace Real Estate,24,0415 377 470,"Shop 4, 4 Neville Ave, Laverton VIC 3028",https://www.domain.com.au/real-estate-agent/ravish-sharma-1759765/
Sold by private treaty 29 Sep 2020,712500,4,2,2,575m²,House,16 Hanmer Drive South Morang VIC 3752,3752,https://www.domain.com.au/16-hanmer-drive-south-morang-vic-3752-2016440835,Petar Djeparoski,Senior Real Estate Executive,Ray White South Morang,9,0480 120 048,"27 Gorge Road, South Morang VIC 3752",https://www.domain.com.au/real-estate-agent/petar-djeparoski-1628213/
Sold by private treaty 29 Sep 2020,375000,,,,448m²,Vacantland,27 Donahue Street Truganina VIC 3029,3029,https://www.domain.com.au/27-donahue-street-truganina-vic-3029-2016321309,Kawal Singh,Sales Manager & Chief Auctioneer,The Eleet Wyndham City,11,0430 612 125,"45C, 380 Sayers Road, Tarneit VIC 3029 45C, 380 Sayers Road, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/kawal-singh-1597371/
Sold by private treaty 29 Sep 2020,500000,3,2,2,550m²,House,20 Tweed Court Werribee VIC 3030,3030,https://www.domain.com.au/20-tweed-court-werribee-vic-3030-2016489650,Petar Krnjeta,Licensed Estate Agent/ Auctioneer,Ray White Werribee,8,0406 912 320,"65 Watton Street, Werribee VIC 3030 65 Watton Street, Werribee VIC 3030 65 Watton Street, Werribee VIC 3030",https://www.domain.com.au/real-estate-agent/petar-krnjeta-1678460/
Sold by private treaty 29 Sep 2020,306000,,,,392m²,Vacantland,104 Farm Road Werribee VIC 3030,3030,https://www.domain.com.au/104-farm-road-werribee-vic-3030-2016301347,Mohit Batra,Sales representative,The Eleet Wyndham City,20,,"45C, 380 Sayers Road, Tarneit VIC 3029 45C, 380 Sayers Road, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/mohit-batra-1752526/
Sold by private treaty 29 Sep 2020,590000,4,2,2,403m²,House,25 Meelup Rise Wollert VIC 3750,3750,https://www.domain.com.au/25-meelup-rise-wollert-vic-3750-2016440009,Vanya Kostur,Sales representative,Ray White Epping,3,0408 717 748,"769 High St, Epping VIC 3076 769 High St, Epping VIC 3076",https://www.domain.com.au/real-estate-agent/vanya-kostur-1541271/
Sold by private treaty 29 Sep 2020,390000,3,1,1,,House,22 Whitehaven Street Wyndham Vale VIC 3024,3024,https://www.domain.com.au/22-whitehaven-street-wyndham-vale-vic-3024-2016432089,Peter Richardson,Director,Richardson Property Group,4,0412 327 835,"23 Princes Highway , Werribee VIC 3030",https://www.domain.com.au/real-estate-agent/peter-richardson-720177/
Sold by private treaty 29 Sep 2020,1066000,2,1,1,368m²,House,18 Court Street Yarraville VIC 3013,3013,https://www.domain.com.au/18-court-street-yarraville-vic-3013-2016339205,Marina Condic,Senior Sales Consultant | Licensed Estate Agent,Jas Stephens Real Estate Yarraville,5,0438 484 696,"104 Somerville Road, Yarraville VIC 3013 104 Somerville Road, Yarraville VIC 3013",https://www.domain.com.au/real-estate-agent/marina-condic-1378554/
Sold by private treaty 29 Sep 2020,1485000,,,,756m²,Vacantland,21 Helsal Point Safety Beach VIC 3936,3936,https://www.domain.com.au/21-helsal-point-safety-beach-vic-3936-2015284145,Brad Boyd,Director & Licensed Estate Agent,Abode Peninsula,11,0434 260 655,"1/2 Watson Road, Mount Martha VIC 3934",https://www.domain.com.au/real-estate-agent/brad-boyd-1082043/
Sold by private treaty 7 Oct 2020,720000,4,2,2,800m²,House,15 Buloke Avenue Manor Lakes VIC 3024,3024,https://www.domain.com.au/15-buloke-avenue-manor-lakes-vic-3024-2016359264,Rikki Sumiga,Senior Sales Consultant,hockingstuart Wyndham City,10,0411 704 038,"34 Station Place, Werribee VIC 3030 34 Station Place, Werribee VIC 3030",https://www.domain.com.au/real-estate-agent/rikki-sumiga-1726346/
Sold by private treaty 29 Sep 2020,655000,3,1,2,241m²,Villa,1/13 Callander Road Pascoe Vale VIC 3044,3044,https://www.domain.com.au/1-13-callander-road-pascoe-vale-vic-3044-2016494199,Marwan Abdulwahed,Area Specialist / Director,Eview Group - C+M Residential,25,0420 647 396,"33 Pascoe Street, Pascoe Vale VIC 3044 33 Pascoe Street, Pascoe Vale VIC 3044",https://www.domain.com.au/real-estate-agent/marwan-abdulwahed-1769540/
Sold by private treaty 29 Sep 2020,915000,4,4,3,600m²,House,4 Sandy Avenue Point Cook VIC 3030,3030,https://www.domain.com.au/4-sandy-avenue-point-cook-vic-3030-2016339485,Sean Grech,Sales Executive,LJ Hooker Point Cook,12,0407 464 654,"Shop 211, 4 Main Street, Point Cook VIC 3030 Shop 211, 4 Main Street, Point Cook VIC 3030",https://www.domain.com.au/real-estate-agent/sean-grech-1466726/
Sold by private treaty 29 Sep 2020,460000,,,,,Vacantland,Point Cook VIC 3030,3030,https://www.domain.com.au/point-cook-vic-3030-2015481274,Jazz Singh,CEO - Licensed Estate Agent,Eview Group - Australia,11,0435 468 689,"463 Nepean Highway, Frankston VIC 3199 463 Nepean Highway, Frankston VIC 3199",https://www.domain.com.au/real-estate-agent/jazz-singh-1644668/
Sold by private treaty 29 Sep 2020,610000,,,,624m²,Vacantland,2A View  Road Rye VIC 3941,3941,https://www.domain.com.au/2a-view-road-rye-vic-3941-2016280442,Mathew Blakely,Sales representative,OBrien Real Estate Rye,7,0400 226 644,"2349 Point Nepean Rd, Rye VIC 3941 2349 Point Nepean Rd, Rye VIC 3941 2349 Point Nepean Rd, Rye VIC 3941",https://www.domain.com.au/real-estate-agent/mathew-blakely-1115621/
Sold by private treaty 7 Oct 2020,785000,4,2,2,612m²,House,12 Bushman Way Lynbrook VIC 3975,3975,https://www.domain.com.au/12-bushman-way-lynbrook-vic-3975-2016413108,Sachin Arora,Sales Consultant,First National Real Estate Neilson Partners,5,0411 081 640,"57 High Street, Berwick VIC 3806 57 High Street, Berwick VIC 3806 57 High Street, Berwick VIC 3806",https://www.domain.com.au/real-estate-agent/sachin-arora-1271758/
Sold at auction 7 Oct 2020,715000,3,1,1,,House,1 Bimbadeen Crescent Yallambie VIC 3085,3085,https://www.domain.com.au/1-bimbadeen-crescent-yallambie-vic-3085-2016518445,Michael Traikos,Sales representative,Nelson Alexander Ivanhoe,3,0413 657 314,"146 Upper Heidelberg Road, Ivanhoe VIC 3079 146 Upper Heidelberg Road, Ivanhoe VIC 3079 146 Upper Heidelberg Road, Ivanhoe VIC 3079",https://www.domain.com.au/real-estate-agent/michael-traikos-1268254/
Sold by private treaty 6 Oct 2020,635000,5,2,2,881m²,House,3 Mcdonald Court Bacchus Marsh VIC 3340,3340,https://www.domain.com.au/3-mcdonald-court-bacchus-marsh-vic-3340-2016351957,Shane O'Brien,,YPA Estate Agents Bacchus Marsh,,, ,https://www.domain.com.au/real-estate-agencies/ypaestateagentsbacchusmarsh-31174/
Sold by private treaty 7 Oct 2020,578000,4,2,2,500m²,House,3 Kinley Place Hillside VIC 3037,3037,https://www.domain.com.au/3-kinley-place-hillside-vic-3037-2016388339,Jeremy Dean,Sales representative,YPA Estate Agents Taylors Lakes,2,0422 750 290,"Shop 5 Watergardens Shopping Centre, Taylors Lakes VIC 3038 Shop 5 Watergardens Shopping Centre, Taylors Lakes VIC 3038",https://www.domain.com.au/real-estate-agent/jeremy-dean-1644631/
Sold by private treaty 7 Oct 2020,475000,3,1,1,539m²,House,4 Beverley Street Kings Park VIC 3021,3021,https://www.domain.com.au/4-beverley-street-kings-park-vic-3021-2016214418,Adam Buhagiar,Sales representative,Crane Real Estate,9,0433 309 279,"1/2-8 Lake St, Caroline Springs VIC 3023",https://www.domain.com.au/real-estate-agent/adam-buhagiar-1309527/
Sold by private treaty 7 Oct 2020,600000,5,1,2,882m²,House,25 Quarry Road Langwarrin VIC 3910,3910,https://www.domain.com.au/25-quarry-road-langwarrin-vic-3910-2016529824,Daniel Robinson,Licensed Sales Agent,Ash Marton Realty,6,0435 503 185,"332 Nepean Hwy, Frankston VIC 3199 332 Nepean Hwy, Frankston VIC 3199",https://www.domain.com.au/real-estate-agent/daniel-robinson-1698548/
Sold by private treaty 7 Oct 2020,695000,4,2,2,620m²,House,25 Spectacle Way Leopold VIC 3224,3224,https://www.domain.com.au/25-spectacle-way-leopold-vic-3224-2016407972,Adam Murphy,Sales representative,Hayeswinckle East Geelong,4,0421 306 247,"267 Myers Street, East Geelong VIC 3219 267 Myers Street, East Geelong VIC 3219",https://www.domain.com.au/real-estate-agent/adam-murphy-1354167/
Sold by private treaty 7 Oct 2020,270000,,,,350m²,Vacantland,7 Laurimar Grove Wyndham Vale VIC 3024,3024,https://www.domain.com.au/7-laurimar-grove-wyndham-vale-vic-3024-2016279288,Sweta Malik,Sales representative,Black and White Real Estate,7,0412 663 374,"Suite 4 114, 22-30 Wallace Avenue, Point Cook VIC 3030",https://www.domain.com.au/real-estate-agent/sweta-malik-1564287/
Sold by private treaty 7 Oct 2020,367000,,,,512m²,Vacantland,361/ Bethany Road Tarneit VIC 3029,3029,https://www.domain.com.au/361-bethany-road-tarneit-vic-3029-2016246485,Vik Monga,Sales Manager,Reliance Real Estate,20,0420 451 995,"73 Watton Street, Werribee VIC 3030",https://www.domain.com.au/real-estate-agent/vik-monga-1307747/
Sold by private treaty 7 Oct 2020,222000,,,,262m²,Vacantland,21 Falu Parade Tarneit VIC 3029,3029,https://www.domain.com.au/21-falu-parade-tarneit-vic-3029-2016394840,Mike Sarupria,Sales - Area Manager,Ray White Tarneit,15,0430 126 491,"Shop 20 / 540 Derrimut Road Tarneit Central Shopping Centre, Tarneit VIC 3029 Shop 20 / 540 Derrimut Road Tarneit Central Shopping Centre, Tarneit VIC 3029",https://www.domain.com.au/real-estate-agent/mike-sarupria-1313591/
Sold by private treaty 7 Oct 2020,410000,3,2,1,350m²,House,29 Waight Court Tarneit VIC 3029,3029,https://www.domain.com.au/29-waight-court-tarneit-vic-3029-2015473347,Asif Khan,Sales representative,Biggin & Scott Wyndham City,12,0414 260 235,"108/22 - 30 Wallace Avenue, Point Cook VIC 3030 108/22 - 30 Wallace Avenue, Point Cook VIC 3030",https://www.domain.com.au/real-estate-agent/asif-khan-1596760/
Sold by private treaty 7 Oct 2020,300000,,,,448m²,Vacantland,20 Roy Street Thornhill Park VIC 3335,3335,https://www.domain.com.au/20-roy-street-thornhill-park-vic-3335-2015626261,Raj Bakshi,Sales representative,Area Specialist Burnside,15,0434 037 899,"Shop 1/118-120 Westwood Drive, Burnside VIC 3023 Shop 1/118-120 Westwood Drive, Burnside VIC 3023",https://www.domain.com.au/real-estate-agent/raj-bakshi-1620190/
Sold by private treaty 7 Oct 2020,420000,,,,544m²,Vacantland,Lot 613 Nevis Place Truganina VIC 3029,3029,https://www.domain.com.au/lot-613-nevis-place-truganina-vic-3029-2016514816,Bal Amardeep,PRINCIPLE / OIEC,Bal Real Estate,44,0413 870 550,"6 Princeton Cl, Truganina VIC 3029 6 Princeton Cl, Truganina VIC 3029",https://www.domain.com.au/real-estate-agent/bal-amardeep-1770229/
Sold by private treaty 7 Oct 2020,430000,1,1,1,,Apartment/Unit/Flat,G01/140 Dudley Street West Melbourne VIC 3003,3003,https://www.domain.com.au/g01-140-dudley-street-west-melbourne-vic-3003-2016125429,Hannah Richards,Sales Consultant,LITTLE Real Estate Victoria,1,0478 084 505,"41 Burwood Rd, Hawthorn VIC 3122 41 Burwood Rd, Hawthorn VIC 3122 41 Burwood Rd, Hawthorn VIC 3122",https://www.domain.com.au/real-estate-agent/hannah-richards-1611702/
Sold by private treaty 7 Oct 2020,523000,3,2,2,603m²,House,12 Bowman Road Wimbledon Heights VIC 3922,3922,https://www.domain.com.au/12-bowman-road-wimbledon-heights-vic-3922-2016464707,Bec Anderson,Sales Executive,Ray White Phillip Island,15,0402 211 823,"56-58 Thompson Ave, Cowes VIC 3922 56-58 Thompson Ave, Cowes VIC 3922",https://www.domain.com.au/real-estate-agent/bec-anderson-1402900/
Sold by private treaty 7 Oct 2020,646500,4,2,2,,House,10 Picardy Way Wollert VIC 3750,3750,https://www.domain.com.au/10-picardy-way-wollert-vic-3750-2016301352,Kalley Singh,Director,One Group Realty,21,0433 927 573,"138 Epping Road, Epping VIC 3076",https://www.domain.com.au/real-estate-agent/kalley-singh-1641006/
Sold at auction 7 Oct 2020,1250000,2,2,1,,Townhouse,13A Sebastopol Street St Kilda East VIC 3183,3183,https://www.domain.com.au/13a-sebastopol-street-st-kilda-east-vic-3183-2016430418,Andy Nasr,Sales Consultant,Belle Property St Kilda,5,0422 029 324,"204-212 Barkly Street, St Kilda VIC 3182 204-212 Barkly Street, St Kilda VIC 3182 204-212 Barkly Street, St Kilda VIC 3182",https://www.domain.com.au/real-estate-agent/andy-nasr-1771964/
Sold by private treaty 7 Oct 2020,625000,2,1,1,,House,31 Evans Crescent Reservoir VIC 3073,3073,https://www.domain.com.au/31-evans-crescent-reservoir-vic-3073-2016518462,Nick Mylonas,Property Consultant,Woodards Preston,2,0401 951 332,"663-665 High Street,, Preston VIC 3072 663-665 High Street,, Preston VIC 3072 663-665 High Street,, Preston VIC 3072",https://www.domain.com.au/real-estate-agent/nick-mylonas-1765045/
Sold by private treaty 7 Oct 2020,604000,3,1,3,433m²,House,82 Winter Crescent Reservoir VIC 3073,3073,https://www.domain.com.au/82-winter-crescent-reservoir-vic-3073-2016124856,Keb Nguyen,Sales,Ray White Reservoir,29,0434 532 137,"286 Broadway , Reservoir VIC 3073 286 Broadway , Reservoir VIC 3073",https://www.domain.com.au/real-estate-agent/keb-nguyen-1324484/
Sold by private treaty 7 Oct 2020,460000,2,1,−,,Apartment/Unit/Flat,3/139 Lennox Street Richmond VIC 3121,3121,https://www.domain.com.au/3-139-lennox-street-richmond-vic-3121-2016520153,Emily Sayers,Sales Consultant,Biggin & Scott Richmond,15,0404 988 850,"28 Bridge Road, Richmond VIC 3121 28 Bridge Road, Richmond VIC 3121 28 Bridge Road, Richmond VIC 3121",https://www.domain.com.au/real-estate-agent/emily-sayers-1296457/
Sold by private treaty 7 Oct 2020,618500,3,2,4,522m²,House,88 Ocean Street Rosebud VIC 3939,3939,https://www.domain.com.au/88-ocean-street-rosebud-vic-3939-2016406377,Tanjil Williams,Sales representative,Ray White Rosebud,20,0408 301 445,"1131-1135 Point Nepean Road, Rosebud VIC 3939",https://www.domain.com.au/real-estate-agent/tanjil-williams-1611813/
Sold by private treaty 7 Oct 2020,640000,2,2,1,,Apartment/Unit/Flat,907/45 Haig Street Southbank VIC 3006,3006,https://www.domain.com.au/907-45-haig-street-southbank-vic-3006-2016398209,Jonathan Hayden,Sales representative,Hayden Melbourne,36,0456 004 234,"310 Toorak Road, South Yarra VIC 3141",https://www.domain.com.au/real-estate-agent/jonathan-hayden-1610164/
Sold by private treaty 6 Oct 2020,1383100,5,3,2,"1,104m²",House,2 Freda Court Eltham North VIC 3095,3095,https://www.domain.com.au/2-freda-court-eltham-north-vic-3095-2016517121,Lucas Peressini,Sales Consultant,Morrison Kleeman Estate Agents,2,0447 997 889,"Town Square, 20 Commercial Place, Eltham VIC 3095 Town Square, 20 Commercial Place, Eltham VIC 3095",https://www.domain.com.au/real-estate-agent/lucas-peressini-1606224/
Sold by private treaty 6 Oct 2020,275000,,,,999m²,Vacantland,13 Darley Drive Darley VIC 3340,3340,https://www.domain.com.au/13-darley-drive-darley-vic-3340-2016368582,Jodi Nash,Sales representative,YPA Estate Agents Bacchus Marsh,8,0419 342 120,"4/8 Church Street, Bacchus Marsh VIC 3340 4/8 Church Street, Bacchus Marsh VIC 3340",https://www.domain.com.au/real-estate-agent/jodi-nash-1705113/
Sold by private treaty 6 Oct 2020,657000,3,1,2,701m²,House,23 Vincent Street Deer Park VIC 3023,3023,https://www.domain.com.au/23-vincent-street-deer-park-vic-3023-2016417650,Anthony Christakakis,Sales representative,Bells Real Estate Sunshine,4,0433 353 402,"14 Devonshire Rd, Sunshine VIC 3020 14 Devonshire Rd, Sunshine VIC 3020",https://www.domain.com.au/real-estate-agent/anthony-christakakis-1166895/
Sold by private treaty 6 Oct 2020,1500888,4,2,4,"1,036m²",House,7 Carisbrook Court Doncaster East VIC 3109,3109,https://www.domain.com.au/7-carisbrook-court-doncaster-east-vic-3109-2016517517,Luke Kounnas,Sales representative,Hudson Bond Real Estate,47,0413 058 774,"632 Doncaster Road, Doncaster VIC 3108 632 Doncaster Road, Doncaster VIC 3108",https://www.domain.com.au/real-estate-agent/luke-kounnas-1499439/
Sold by private treaty 6 Oct 2020,352000,,,,560m²,Vacantland,14 Canungra Way Doreen VIC 3754,3754,https://www.domain.com.au/14-canungra-way-doreen-vic-3754-2014755016,Chamara Adihetty,Managing Director,Ray White South Morang,9,0423 904 801,"27 Gorge Road, South Morang VIC 3752",https://www.domain.com.au/real-estate-agent/chamara-adihetty-1514905/
Sold by private treaty 6 Oct 2020,495000,3,2,2,,House,10 Cantie Place Doreen VIC 3754,3754,https://www.domain.com.au/10-cantie-place-doreen-vic-3754-2016365688,Ravinder Kumar,Sales representative,One Group Realty,5,0401 055 111,"138 Epping Road, Epping VIC 3076",https://www.domain.com.au/real-estate-agent/ravinder-kumar-1757338/
Sold by private treaty 6 Oct 2020,629000,2,1,3,603m²,House,34 Canna Street Dromana VIC 3936,3936,https://www.domain.com.au/34-canna-street-dromana-vic-3936-2016451896,Linda Wooley CEA REIV,Sales representative,MJ Ross & Co,12,0408 148 041,"215 Point Neapean Road, Dromana VIC 3936 215 Point Neapean Road, Dromana VIC 3936",https://www.domain.com.au/real-estate-agent/linda-wooley-cea-reiv-935798/
Sold by private treaty 6 Oct 2020,1360000,4,2,2,694m²,House,94 Rae Avenue Edithvale VIC 3196,3196,https://www.domain.com.au/94-rae-avenue-edithvale-vic-3196-2016328337,James French,Sales representative,Buxton Real Estate Mentone,1,0434 955 657,"99 Charman Rd, Mentone VIC 3194 99 Charman Rd, Mentone VIC 3194 99 Charman Rd, Mentone VIC 3194",https://www.domain.com.au/real-estate-agent/james-french-1350474/
Sold by private treaty 6 Oct 2020,650000,2,1,1,,Apartment/Unit/Flat,17/15 Alexandra Avenue Elsternwick VIC 3185,3185,https://www.domain.com.au/17-15-alexandra-avenue-elsternwick-vic-3185-2016394412,Angelos Stefanis,Sales representative,Biggin & Scott Elsternwick,3,0402 232 399,"261-263 Glenhuntly Road, Elsternwick VIC 3185 261-263 Glenhuntly Road, Elsternwick VIC 3185 261-263 Glenhuntly Road, Elsternwick VIC 3185",https://www.domain.com.au/real-estate-agent/angelos-stefanis-678671/
Sold by private treaty 6 Oct 2020,540000,3,2,2,159m²,Townhouse,8/11-13 Frederick Street Dandenong VIC 3175,3175,https://www.domain.com.au/8-11-13-frederick-street-dandenong-vic-3175-2016055640,Ben Jusufi,Director ,Ray White Dandenong,16,0406 026 542,"20 Langhorne St, Dandenong VIC 3175 20 Langhorne St, Dandenong VIC 3175 20 Langhorne St, Dandenong VIC 3175",https://www.domain.com.au/real-estate-agent/ben-jusufi-1592323/
Sold by private treaty 6 Oct 2020,630000,2,1,1,,Apartment/Unit/Flat,2/6 Seventh Avenue Chelsea Heights VIC 3196,3196,https://www.domain.com.au/2-6-seventh-avenue-chelsea-heights-vic-3196-2016418066,Tanja Neven-Jones,Sales representative,OBrien Real Estate Chelsea,8,03 9772 7077,"1 / 463 Nepean Hwy, Chelsea VIC 3196 1 / 463 Nepean Hwy, Chelsea VIC 3196 1 / 463 Nepean Hwy, Chelsea VIC 3196",https://www.domain.com.au/real-estate-agent/tanja-neven-jones-1179515/
Sold by private treaty 6 Oct 2020,400000,4,1,4,605m²,House,42 Purnell Road Corio VIC 3214,3214,https://www.domain.com.au/42-purnell-road-corio-vic-3214-2016420216,Chari Emirzade,Sales Consultant,Barry Plant - Geelong,67,0452 341 778,"116 Ryrie St, Geelong VIC 3220 116 Ryrie St, Geelong VIC 3220",https://www.domain.com.au/real-estate-agent/chari-emirzade-1161327/
Sold at auction 6 Oct 2020,610000,4,2,2,,House,3 Greystone Place Craigieburn VIC 3064,3064,https://www.domain.com.au/3-greystone-place-craigieburn-vic-3064-2016425869,Trish Orrico,Sales Consultant ,Ray White Craigieburn,8,0423 336 636,"Shop D00-03 Craigieburn Central, Craigieburn VIC 3064 Shop D00-03 Craigieburn Central, Craigieburn VIC 3064",https://www.domain.com.au/real-estate-agent/trish-orrico-1214114/
