district,transaction_house,transaction_time,transaction_area,total_price,average_price,storey,deco,house_url,agent_name,career_years,agent_location,agent_rank,agent_url
通州,大方居,2020-05,89.37平米,309万,34576元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101106116807.html,刘学,5年以上,海棠湾店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020030923/
东城,瑞士公寓,2019-12,119.77平米,1025万,85581元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101104474134.html,胡琰琰,5年以上,吉庆里店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020096659/
石景山,铸造村,2020-01,69.24平米,245万,35385元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101105760411.html,胡敬树,5年以上,金顶阳光B店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020096855/
东城,朝内大街203号院,2019-12,57.08平米,610万,106868元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106301454.html,王龙龙,5年以上,史家一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020011776/
亦庄开发区,秋盛居,2020-01,121.09平米,460万,37989元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101101981086.html,王金存,5年以上,华冠店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020007297/
亦庄开发区,新海北里,2020-02,56.9平米,200-221万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/BJ0035695365.html,,,,,
亦庄开发区,枫丹壹号二期,2020-01,94.53平米,533万,56385元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101105396911.html,吴斐斐,1-2年,新海一店A店,综合经纪人,https://dianpu.lianjia.com/1000000026510327/
昌平,御路园,2020-07,88.38平米,278-283万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101106179916.html,石国虎,5年以上,西关店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010094183/
亦庄开发区,星岛假日,2018-08,105平米,650万,61905元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101102994217.html,刘东生,5年以上,万年花城中心店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020024317/
亦庄开发区,枫丹壹号二期,2020-01,116.55平米,660万,56629元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/101106511768.html,张栋,1-2年,中信新城店A店,买卖经纪人,https://dianpu.lianjia.com/1000000026512356/
亦庄开发区,宏仁家园,2020-01,88平米,232万,26364元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101106056065.html,赵晓龙,5年以上,金地中心店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020079640/
亦庄开发区,米兰天空,2020-01,164.46平米,635万,38612元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101105845337.html,梁春江,4-5年,一品亦庄店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020254649/
亦庄开发区,泰河园一里一区,2020-01,80.35平米,358万,44556元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106579749.html,雷洲,1-2年,鹿海园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000026521385/
亦庄开发区,新海北里,2020-01,107.21平米,317万,29569元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106596560.html,杜福祥,2-3年,马驹桥店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020397802/
亦庄开发区,老管委会宿舍,2020-01,90.83平米,406万,44699元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101105637523.html,李超,5年以上,大雄城市花园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020048788/
亦庄开发区,金地格林小镇,2020-02,157.49平米,807-824万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101104919903.html,周海生,4-5年,鹿海园B店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020284707/
亦庄开发区,卡尔生活馆,2020-02,180.27平米,773-788万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101105308014.html,陈飞,5年以上,鹿海园B店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020086714/
亦庄开发区,国锐金嵿,2020-02,104.44平米,340-347万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034450535.html,,,,,
亦庄开发区,荣京丽都,2020-02,44.71平米,144-159万,--元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/101103111782.html,李庚达,2-3年,通泰国际公馆店A店,买卖经纪人,https://dianpu.lianjia.com/1000000026012716/
亦庄开发区,林肯公园,2020-02,61.63平米,337-372万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034457492.html,,,,,
亦庄开发区,金地格林6,2020-02,99.53平米,342-378万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101104030933.html,候跃龙,2-3年,金地中心店A店,买卖经纪人,https://dianpu.lianjia.com/1000000026020889/
亦庄开发区,林肯公园二期C区,2020-02,226.53平米,872-889万,--元/平,顶层,其他,https://bj.lianjia.com/chengjiao/BJ0034428852.html,,,,,
亦庄开发区,听涛雅苑,2020-02,82.69平米,404-413万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101105154983.html,王光恒,5年以上,华冠店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020145066/
亦庄开发区,林肯公园,2020-02,36平米,124-127万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101104829972.html,霍洪臣,4-5年,林肯公园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020281930/
亦庄开发区,神龙辛屯小区,2020-02,67.27平米,192-213万,--元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/101103681378.html,杨宁,4-5年,珠江逸景家园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020211155/
亦庄开发区,米拉小镇,2020-02,74.49平米,261-270万,--元/平,高楼层,简装,https://bj.lianjia.com/chengjiao/101105262279.html,孙主宇,5年以上,马驹桥店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020162607/
亦庄开发区,莲水怡园,2020-02,75.73平米,218-223万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101104795843.html,刘有利,4-5年,样本店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020264338/
亦庄开发区,林肯公园,2020-02,36.17平米,123-126万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034428864.html,,,,,
亦庄开发区,林肯公园,2020-02,243.39平米,644-657万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101106670712.html,魏攀龙,4-5年,林肯二期南门店A店,综合经纪人,https://dianpu.lianjia.com/1000000020267536/
亦庄开发区,东晶国际,2020-02,62.51平米,291-296万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101103519936.html,徐伟松,5年以上,国融国际新店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020052407/
亦庄开发区,林肯公寓,2020-02,65平米,342-349万,--元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034437781.html,,,,,
密云,博世庄园,2019-03,100.66平米,184万,18280元/平,底层,简装,https://bj.lianjia.com/chengjiao/101102927035.html,张俊涛,5年以上,路劲小区店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020087369/
亦庄开发区,中信新城两限区,2020-02,71.65平米,285万,39777元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101106777184.html,赵亮,4-5年,亦庄一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020204863/
东城,外交部街33号院,2019-12,82.32平米,1060万,128766元/平,底层,简装,https://bj.lianjia.com/chengjiao/101105945908.html,马晓亮,5年以上,西单金牌店A店,综合经纪人,https://dianpu.lianjia.com/1000000020018513/
亦庄开发区,新海北里,2020-02,66.76平米,218万,32655元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/101106761083.html,杜文丽,4-5年,珠江逸景家园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020263976/
亦庄开发区,东晶国际,2020-02,52.02平米,280-291万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101104025098.html,许晓龙,5年以上,一品亦庄店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020008323/
顺义,胜利小区,2020-03,72.74平米,267-296万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101100464520.html,,,,,
顺义,怡馨家园,2020-03,114.04平米,466-470万,--元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034462168.html,,,,,
东城,外交部街,2019-12,58.99平米,510万,86456元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101104673706.html,苏雷彬,4-5年,金宝街一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020232432/
顺义,焦各庄街2号院,2020-03,66.68平米,114-117万,--元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101105477338.html,,,,,
顺义,马坡花园一区,2020-02,103.92平米,320万,30793元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101105789480.html,周培,5年以上,新金汉绿港店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010067107/
顺义,建新南区,2020-03,51.71平米,296-301万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/101090831902.html,,,,,
顺义,幸福西区,2020-02,86.25平米,326万,37798元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101103960855.html,张坦,5年以上,龙湖香醍店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010132960/
顺义,龙湾别墅,2020-03,293平米,1745-1928万,--元/平,地下室,其他,https://bj.lianjia.com/chengjiao/101105004987.html,王泽众,2-3年,中央别墅区B店A店,综合经纪人,https://dianpu.lianjia.com/1000000023006521/
顺义,马坡花园一区,2020-03,100.2平米,288-293万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101106194033.html,于二涛,5年以上,香悦四季店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020052737/
顺义,中铁花溪渡,2020-03,87.32平米,342-349万,--元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106648530.html,李忠涛,5年以上,龙湖香醍店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020138133/
顺义,金宝城北区,2020-03,92.49平米,326-361万,--元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101106289633.html,王亚卓,5年以上,花溪渡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020018021/
顺义,龙湖香醍漫步四区南区,2020-03,39平米,166-183万,--元/平,中楼层,毛坯,https://bj.lianjia.com/chengjiao/101087061875.html,王建,5年以上,龙湖香醍店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020027745/
顺义,东亚首航国际,2020-03,33.77平米,59-66万,--元/平,顶层,其他,https://bj.lianjia.com/chengjiao/BJ0033939128.html,,,,,
顺义,双兴东区,2020-03,69.22平米,253-258万,--元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101105451583.html,王文思,5年以上,光明中心店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020102429/
顺义,浅山香邑,2020-03,85.92平米,207-228万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/BJ0033819401.html,,,,,
顺义,双裕小区,2020-03,82.21平米,290-295万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101105496414.html,董娟,3-4年,白露广场一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020320258/
顺义,裕京花园,2020-03,229平米,1883-2082万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/101087903063.html,杜佳连,5年以上,香花畦家园一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020008269/
顺义,太平小区,2020-03,60.86平米,208-213万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101105478556.html,魏娟娟,5年以上,胜利店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020091711/
顺义,东兴一区,2020-03,78平米,312-319万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101105614904.html,杨凤彦,5年以上,幸福店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020052698/
顺义,东亚首航国际,2020-03,51平米,90-99万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/101102553668.html,李文英,5年以上,光明中心店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020035303/
顺义,顺鑫花语,2020-03,91.93平米,305-338万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101104261553.html,,,,,
顺义,空港吉祥花园,2020-03,89平米,335-342万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101102812908.html,,,,,
顺义,滨河小区,2020-03,59.64平米,206-211万,--元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101106389718.html,仇胜凯,5年以上,滨河店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020056945/
顺义,建新北区,2020-03,56.38平米,296-301万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101104590688.html,邓杰,5年以上,建新北店B店,买卖经纪人,https://dianpu.lianjia.com/1000000020054190/
顺义,吉祥雅筑,2020-03,85平米,335-341万,--元/平,低楼层,简装,https://bj.lianjia.com/chengjiao/101104226927.html,李佳隆,4-5年,中粮祥云店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020270836/
顺义,西辛南区,2020-03,68.08平米,251-256万,--元/平,底层,简装,https://bj.lianjia.com/chengjiao/101107020530.html,史常雪,5年以上,新西辛店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020010958/
顺义,水木兰亭,2020-03,180.65平米,681-685万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101106769310.html,,,,,
顺义,新马家园,2020-03,65.41平米,200-205万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101106233795.html,崔明全,5年以上,金宝天阶店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010084451/
顺义,香悦四季,2020-03,114.84平米,446-455万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101106684895.html,马佳佳,4-5年,香悦四季店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020267533/
顺义,佳和宜园,2020-03,48.61平米,164-167万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101104295951.html,陈佳,5年以上,香悦四季店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020048606/
顺义,佳和宜园,2020-03,92.99平米,273-278万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101104787416.html,王清涛,5年以上,香悦四季店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020101492/
顺义,阳光水岸,2020-03,85.96平米,302-309万,--元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106806407.html,王翠,5年以上,金宝天阶店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020043535/
顺义,滨河小区,2020-03,68.48平米,218-223万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101105054870.html,范开琴,4-5年,滨河店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020235189/
顺义,新马家园,2020-03,65.57平米,209-214万,--元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106508583.html,刘爱华,5年以上,泰和谊园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010082982/
顺义,马坡花园二区,2020-03,121.22平米,328-335万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101104696826.html,王龙,5年以上,马坡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020118992/
顺义,龙湖香醍漫步四区北区,2020-03,39.16平米,165-171万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101106417159.html,陈少龙,5年以上,金宝天阶店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020142807/
顺义,建新南区,2020-02,37.65平米,231万,61355元/平,底层,其他,https://bj.lianjia.com/chengjiao/101104929283.html,刘彦辉,5年以上,建新北店B店,买卖经纪人,https://dianpu.lianjia.com/1000000020048447/
顺义,望泉家园,2020-03,94.67平米,270-273万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101104064752.html,张月虎,5年以上,万科聚乐汇店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020041293/
顺义,马坡花园二区,2020-03,83.1平米,266-294万,--元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034524420.html,,,,,
顺义,东兴一区,2020-03,90.69平米,350-357万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101106428816.html,佘美晶,5年以上,幸福店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020019457/
顺义,中国铁建顺鑫汇,2020-03,67.01平米,90-91万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101103938794.html,,,,,
顺义,顺兴街17号院,2020-03,50.68平米,173-176万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101107107951.html,高庆彪,5年以上,马坡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020028228/
顺义,智地香蜜湾,2020-03,66.9平米,273-278万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/BJ0034433831.html,,,,,
顺义,顺兴街17号院,2020-03,60.7平米,203-208万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101106930812.html,初存治,5年以上,马坡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020094004/
顺义,金宝城北区,2020-03,135.05平米,455-502万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101104547789.html,王远,4-5年,花溪渡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020260179/
顺义,名都园,2020-03,143.34平米,731-808万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101105072474.html,李增辉,4-5年,中粮祥云小镇店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020168788/
顺义,恒华安纳湖,2020-03,88.25平米,233-238万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101105300795.html,黄燕玲,5年以上,花溪渡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010100796/
顺义,顺鑫朗郡,2020-03,91平米,249-276万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101084912322.html,吴波,5年以上,香悦四季店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010085513/
顺义,石园北区,2020-03,64.54平米,179-182万,--元/平,中楼层,毛坯,https://bj.lianjia.com/chengjiao/101106939491.html,孙智明,5年以上,石园北区三店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020036161/
顺义,广厦鑫苑,2020-03,119.59平米,446-455万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/101105702927.html,杨双,4-5年,石园北店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020202753/
顺义,西辛南区,2020-02,66.1平米,240万,36309元/平,高楼层,简装,https://bj.lianjia.com/chengjiao/101105820976.html,赵改玉,5年以上,西辛南区地铁店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020104578/
顺义,裕龙三区,2020-02,69.27平米,294万,42443元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106650968.html,张欢,5年以上,裕龙三区店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020074288/
顺义,金汉绿港三区,2020-02,130.17平米,505万,38796元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101105390337.html,畅雷,5年以上,港馨东区店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020110257/
顺义,东兴一区,2020-03,127.68平米,460-466万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/BJ0037498390.html,,,,,
顺义,炫立方,2020-02,46.48平米,80万,17212元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101106616184.html,李森,5年以上,上东滨河店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020159862/
顺义,泰和谊园,2020-03,135.79平米,421-466万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/BJ0035096840.html,,,,,
顺义,天竺花园,2020-02,101.71平米,336万,32994元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101106718285.html,余青,5年以上,吉祥蓝星店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020006799/
顺义,裕龙四区,2020-03,87平米,306-339万,--元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/BJ0036804852.html,,,,,
顺义,双兴北区,2020-03,87.11平米,300-331万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/BJ0035096614.html,,,,,
顺义,南竺园,2020-02,64.2平米,190万,29518元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101105777744.html,马洪仓,5年以上,万科店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020022322/
顺义,东亚首航国际,2020-02,51.29平米,79万,15306元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101104229871.html,张彭,5年以上,石门地铁店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020029829/
顺义,石园北区,2020-03,133.8平米,461-510万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/BJ0035035072.html,,,,,
顺义,馨港庄园三区,2020-02,127.56平米,275万,21559元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101104310057.html,吴凯,5年以上,馨港商业街店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020102272/
顺义,顺兴街17号院,2020-03,50.62平米,171-172万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/BJ0035096597.html,,,,,
顺义,怡馨家园,2020-02,42.65平米,262万,61431元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106579832.html,吴国齐,5年以上,和平里东街B店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020044014/
顺义,天恒花园,2020-02,106.39平米,420万,39478元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101105599668.html,刘晓云,2-3年,中粮祥云小镇店A店,买卖经纪人,https://dianpu.lianjia.com/1000000021339778/
顺义,宏城花园,2020-03,99.02平米,367-374万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/101088917382.html,,,,,
顺义,万科四季花城,2020-03,98.68平米,431-440万,--元/平,底层,精装,https://bj.lianjia.com/chengjiao/101103518918.html,王超,5年以上,万科聚乐汇店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020044417/
顺义,港馨家园西区,2020-03,90.06平米,346-383万,--元/平,底层,其他,https://bj.lianjia.com/chengjiao/BJ0035702011.html,,,,,
顺义,东方太阳城,2020-03,105.26平米,340-347万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101102545675.html,李高强,5年以上,东方太阳城商业街店A,买卖经纪人,https://dianpu.lianjia.com/1000000020097314/
顺义,三山新新家园,2020-02,95平米,356万,37474元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101106801736.html,李冠奎,5年以上,白露雅园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020007314/
顺义,双兴北区,2020-03,73.9平米,263-268万,--元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101106853677.html,张成林,4-5年,胜利店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020246870/
顺义,北京苏活四区,2020-03,138.88平米,396-404万,--元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101100575496.html,笪翔,5年以上,首都机场京客隆店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020110062/
顺义,滨河小区,2020-03,68.24平米,215-220万,--元/平,中楼层,简装,https://bj.lianjia.com/chengjiao/101106117982.html,张云贺,5年以上,滨河店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010142430/
顺义,馨港庄园二区,2020-03,142.23平米,342-349万,--元/平,低楼层,精装,https://bj.lianjia.com/chengjiao/101106674497.html,李盼盼,4-5年,馨港商业街店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020188909/
顺义,绿地顺义启航国际,2020-03,40.33平米,85万,20853元/平,中楼层,精装,https://bj.lianjia.com/chengjiao/101105976154.html,张智辉,5年以上,白露广场一店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020034569/
顺义,万科四季花城,2020-03,132.84平米,598万,45017元/平,高楼层,其他,https://bj.lianjia.com/chengjiao/101106595537.html,石志林,5年以上,金宝天阶店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020095878/
顺义,前进花园石门苑,2020-03,85.35平米,319万,37376元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106952742.html,张辉,5年以上,新西辛店A店,买卖经纪人,https://dianpu.lianjia.com/1000000010078923/
顺义,馨港庄园二区,2020-03,108.84平米,292万,26829元/平,低楼层,其他,https://bj.lianjia.com/chengjiao/101106597608.html,李彩娟,5年以上,南竺园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020018531/
顺义,石园东苑,2020-03,72.17平米,235万,32563元/平,顶层,精装,https://bj.lianjia.com/chengjiao/101107106124.html,孙伟,2-3年,石园东苑店A店,买卖经纪人,https://dianpu.lianjia.com/1000000023026920/
顺义,佳和宜园,2020-03,91.15平米,281万,30789元/平,高楼层,精装,https://bj.lianjia.com/chengjiao/101106687630.html,张崇,5年以上,花溪渡店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020135976/
顺义,裕祥花园,2020-03,108.1平米,349万,32256元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101101903709.html,杨婷,2-3年,白露雅园店A店,综合经纪人,https://dianpu.lianjia.com/1000000023006430/
顺义,顺兴街17号院,2020-04,60.88平米,194-197万,--元/平,顶层,简装,https://bj.lianjia.com/chengjiao/101105175680.html,张博,5年以上,金宝天阶店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020026935/
顺义,南竺园,2020-03,63.82平米,198万,31025元/平,底层,简装,https://bj.lianjia.com/chengjiao/101106042341.html,孙平宇,5年以上,南竺园店A店,买卖经纪人,https://dianpu.lianjia.com/1000000020022666/
顺义,首创派尚国际,2020-04,56.33平米,162-179万,--元/平,中楼层,其他,https://bj.lianjia.com/chengjiao/101103554504.html,,,,,
